,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
0,tt0091763,Platoon,English,USA,120,R,92.0,6000000.0,Orion Pictures,Best Actor in a Supporting Role,7,Oliver Stone,,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Drama' 'War,Drama,War,1987-02-06,Winter
7,tt0082979,Reds,English,USA,195,PG,76.0,32000000.0,Paramount Pictures,Best Actor in a Leading Role,12,Warren Beatty,Trevor Griffiths,Warren Beatty,Warren Beatty,Diane Keaton,Edward Herrmann,Biography' 'Drama,Biography,Drama,1981-12-25,Winter
19,tt0084434,An Officer and a Gentleman,English,USA,124,R,75.0,7500000.0,Paramount Pictures,Best Actor in a Supporting Role,6,Douglas Day Stewart,,Taylor Hackford,Richard Gere,Debra Winger,David Keith,Drama' 'Romance,Drama,Romance,1982-08-13,Summer
25,tt0119360,In & Out,English,USA,90,PG-13,70.0,35000000.0,Paramount Pictures,Best Actress in a Supporting Role,1,Paul Rudnick,,Frank Oz,Kevin Kline,Joan Cusack,Tom Selleck,Comedy' 'Romance,Comedy,Romance,1997-09-19,Fall
26,tt0292542,Son of the Bride,Spanish,Argentina,123,R,68.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film,1,Juan José Campanella,Fernando Castets,Juan José Campanella,Ricardo Darín,Héctor Alterio,Norma Aleandro,Comedy' 'Drama,Comedy,Drama,2001-08-16,Summer
27,tt1069238,Departures,Japanese,Japan,130,PG-13,68.0,,Regent Releasing,Best Foreign Language Film of the Year,1,Kundô Koyama,,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Drama' 'Music,Drama,Music,2009-06-19,Summer
28,tt0108550,What's Eating Gilbert Grape,English,USA,118,PG-13,73.0,11000000.0,Paramount Pictures,Best Actor in a Supporting Role,1,Peter Hedges,Peter Hedges,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Drama,Drama,,1994-03-04,Winter
30,tt0090203,The Trip to Bountiful,English,USA,108,PG,81.0,,Island Pictures,Best Actress in a Leading Role,2,Horton Foote,Horton Foote,Peter Masterson,Geraldine Page,John Heard,Carlin Glynn,Drama,Drama,,1986-01-24,Winter
34,tt1403865,True Grit,English,USA,110,PG-13,80.0,38000000.0,Paramount Pictures,Best Motion Picture of the Year,10,Joel Coen,Ethan Coen,Ethan Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,Drama' 'Western,Drama,Western,2010-12-22,Winter
44,tt0093010,Fatal Attraction,English,USA,119,R,67.0,14000000.0,Paramount Pictures,Best Actress in a Leading Role,6,James Dearden,James Dearden,Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,Drama' 'Thriller,Drama,Thriller,1987-09-18,Fall
50,tt2267998,Gone Girl,English,USA,149,R,79.0,61000000.0,Twentieth Century Fox,Best Performance by an Actress in a Leading Role,1,Gillian Flynn,Gillian Flynn,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Drama' 'Mystery,Drama,Mystery,2014-10-03,Fall
51,tt0120863,The Thin Red Line,English,USA,170,R,78.0,52000000.0,The Criterion Collection,Best Cinematography,7,James Jones,Terrence Malick,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Drama' 'War,Drama,War,1999-01-15,Winter
60,tt4048272,Toni Erdmann,German,Germany,162,R,93.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Maren Ade,,Maren Ade,Sandra Hüller,Peter Simonischek,Michael Wittenborn,Comedy' 'Drama,Comedy,Drama,2016-12-25,Winter
61,tt0280778,Iris,English,UK,91,R,76.0,5500000.0,Miramax,Best Actress in a Leading Role,3,John Bayley,Richard Eyre,Richard Eyre,Judi Dench,Jim Broadbent,Kate Winslet,Biography' 'Drama,Biography,Drama,2002-03-29,Winter
64,tt0091167,Hannah and Her Sisters,English,USA,107,PG-13,90.0,6400000.0,Orion Pictures,Best Actor in a Supporting Role,7,Woody Allen,,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Comedy' 'Drama,Comedy,Drama,1986-03-14,Winter
71,tt1276419,A Royal Affair,Danish,Denmark,137,R,73.0,2900000.0,Magnolia Pictures,Best Foreign Language Film of the Year,1,Bodil Steensen-Leth,Rasmus Heisterberg,Nikolaj Arcel,Alicia Vikander,Mads Mikkelsen,Mikkel Boe Følsgaard,Biography' 'Drama,Biography,Drama,2012-03-29,Winter
72,tt1619029,Jackie,English,USA,100,R,81.0,9000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,3,Noah Oppenheim,,Pablo Larraín,Natalie Portman,Peter Sarsgaard,Greta Gerwig,Biography' 'Drama,Biography,Drama,2016-12-02,Winter
75,tt0368794,I'm Not There,English,Germany,135,R,73.0,20000000.0,Metro-Goldwyn-Mayer,Best Performance by an Actress in a Supporting Role,1,Todd Haynes,Oren Moverman,Todd Haynes,Christian Bale,Cate Blanchett,Heath Ledger,Biography' 'Drama,Biography,Drama,2007-12-07,Winter
76,tt0247196,Before Night Falls,English,USA,133,R,85.0,8658857.142857144,Fine Line Features,Best Actor in a Leading Role,1,"""Cunningham O'Keefe""",Lázaro Gómez Carriles,Julian Schnabel,Javier Bardem,Johnny Depp,Olatz López Garmendia,Biography' 'Drama,Biography,Drama,2001-02-23,Winter
77,tt8991268,Honeyland,Turkish,Republic of North Macedonia,89,Unrated,86.0,11400000.0,Neon,Best Documentary Feature,2,Tamara Kotevska,Ljubomir Stefanov,Tamara Kotevska,Hatidze Muratova,Nazife Muratova,Hussein Sam,Documentary' 'Drama,Documentary,Drama,2019-07-26,Summer
79,tt0106226,The Age of Innocence,English,USA,139,PG,90.0,34000000.0,Columbia Pictures,Best Actress in a Supporting Role,5,Edith Wharton,Jay Cocks,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Drama' 'Romance,Drama,Romance,1993-10-01,Fall
84,tt8404614,The Two Popes,English,UK,125,PG-13,75.0,,,Best Performance by an Actor in a Leading Role,3,Anthony McCarten,,Fernando Meirelles,Anthony Hopkins,Jonathan Pryce,Juan Minujín,Biography' 'Comedy,Biography,Comedy,2019-12-20,Winter
87,tt0106977,The Fugitive,English,USA,130,PG-13,87.0,44000000.0,Warner Bros.,Best Actor in a Supporting Role,7,Jeb Stuart,David Twohy,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Action' 'Crime,Action,Crime,1993-08-06,Summer
94,tt2011971,Monsieur Lazhar,French,Canada,95,PG-13,82.0,,Music Box Films,Best Foreign Language Film of the Year,1,Philippe Falardeau,Evelyne de la Chenelière,Philippe Falardeau,Mohamed Fellag,Sophie Nélisse,Émilien Néron,Comedy' 'Drama,Comedy,Drama,2012-03-07,Winter
95,tt0084805,Tootsie,English,USA,116,PG,88.0,21000000.0,Columbia Pictures,Best Actor in a Leading Role,9,Don McGuire,Larry Gelbart,Sydney Pollack,Dustin Hoffman,Jessica Lange,Teri Garr,Comedy' 'Drama,Comedy,Drama,1982-12-17,Winter
105,tt1568346,The Girl with the Dragon Tattoo,English,USA,158,R,71.0,90000000.0,Columbia Pictures,Best Performance by an Actress in a Leading Role,5,Steven Zaillian,Stieg Larsson,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Crime' 'Drama,Crime,Drama,2011-12-21,Winter
110,tt0082158,Chariots of Fire,English,UK,125,PG,78.0,5500000.0,Warner Bros.,Best Actor in a Supporting Role,7,Colin Welland,,Hugh Hudson,Ben Cross,Ian Charleson,Nicholas Farrell,Biography' 'Drama,Biography,Drama,1982-04-09,Spring
117,tt1007029,The Iron Lady,English,UK,105,PG-13,54.0,13000000.0,The Weinstein Company,Best Performance by an Actress in a Leading Role,2,Abi Morgan,,Phyllida Lloyd,Meryl Streep,Jim Broadbent,Richard E. Grant,Biography' 'Drama,Biography,Drama,2012-01-13,Winter
119,tt0477302,Extremely Loud & Incredibly Close,English,USA,129,PG-13,46.0,40000000.0,Warner Bros.,Best Motion Picture of the Year,2,Eric Roth,Jonathan Safran Foer,Stephen Daldry,Thomas Horn,Tom Hanks,Sandra Bullock,Adventure' 'Drama,Adventure,Drama,2012-01-20,Winter
121,tt0107943,The Remains of the Day,English,USA,134,PG,84.0,15000000.0,Columbia Pictures,Best Actor in a Leading Role,8,Kazuo Ishiguro,Ruth Prawer Jhabvala,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Drama' 'Romance,Drama,Romance,1993-11-19,Fall
129,tt2582802,Whiplash,English,USA,106,R,88.0,3300000.0,Sony Pictures Classics,Best Motion Picture of the Year,5,Damien Chazelle,,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Drama' 'Music,Drama,Music,2014-10-15,Fall
134,tt0084917,The World According to Garp,English,USA,136,R,63.0,17000000.0,Warner Bros.,Best Actor in a Supporting Role,2,John Irving,Steve Tesich,George Roy Hill,Robin Williams,Mary Beth Hurt,Glenn Close,Comedy' 'Drama,Comedy,Drama,1982-07-23,Summer
136,tt2852470,The Missing Picture,French,Cambodia,92,Not Rated,87.0,,Strand Releasing,Best Foreign Language Film of the Year,1,Rithy Panh,Christophe Bataille,Rithy Panh,Randal Douc,Jean-Baptiste Phou,,Documentary,Documentary,,2014-03-19,Winter
138,tt2543164,Arrival,English,USA,116,PG-13,81.0,47000000.0,Paramount Pictures,Best Motion Picture of the Year,8,Eric Heisserer,Ted Chiang,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Drama' 'Mystery,Drama,Mystery,2016-11-11,Fall
146,tt2106476,The Hunt,Danish,Denmark,115,R,77.0,3800000.0,Magnolia Pictures,Best Foreign Language Film of the Year,1,Tobias Lindholm,Thomas Vinterberg,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Drama,Drama,,2013-01-10,Winter
147,tt0166943,Music of the Heart,English,USA,124,PG,54.0,27000000.0,Miramax,Best Actress in a Leading Role,2,Pamela Gray,,Wes Craven,Meryl Streep,Cloris Leachman,Henry Dinhofer,Drama' 'Music,Drama,Music,1999-10-29,Fall
149,tt0253474,The Pianist,English,UK,150,R,85.0,35000000.0,Focus Features,Best Picture,7,Ronald Harwood,Wladyslaw Szpilman,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Biography' 'Drama,Biography,Drama,2003-03-28,Winter
156,tt0465551,Notes on a Scandal,English,UK,92,R,73.0,15000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,4,Patrick Marber,Zoë Heller,Richard Eyre,Cate Blanchett,Judi Dench,Andrew Simpson,Crime' 'Drama,Crime,Drama,2007-01-26,Winter
160,tt0387131,The Constant Gardener,English,UK,129,R,82.0,25000000.0,Focus Features,Best Performance by an Actress in a Supporting Role,4,Jeffrey Caine,John le Carré,Fernando Meirelles,Ralph Fiennes,Rachel Weisz,Danny Huston,Drama' 'Mystery,Drama,Mystery,2005-08-31,Summer
167,tt2562232,Birdman or,English,USA,119,R,87.0,18000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,9,Alejandro G. Iñárritu,Nicolás Giacobone,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Comedy' 'Drama,Comedy,Drama,2014-11-14,Fall
176,tt2084970,The Imitation Game,English,UK,114,PG-13,73.0,14000000.0,The Weinstein Company,Best Motion Picture of the Year,8,Graham Moore,Andrew Hodges,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Biography' 'Drama,Biography,Drama,2014-12-25,Winter
184,tt0390221,Maria Full of Grace,Spanish,Colombia,101,R,87.0,3000000.0,Fine Line Features,Best Performance by an Actress in a Leading Role,1,Joshua Marston,,Joshua Marston,Catalina Sandino Moreno,Guilied Lopez,Orlando Tobón,Crime' 'Drama,Crime,Drama,2004-08-06,Summer
185,tt0465538,Michael Clayton,English,USA,119,R,82.0,25000000.0,Warner Bros.,Best Motion Picture of the Year,7,Tony Gilroy,,Tony Gilroy,George Clooney,Tilda Swinton,Tom Wilkinson,Crime' 'Drama,Crime,Drama,2007-10-12,Fall
192,tt0097322,The Fabulous Baker Boys,English,USA,114,R,85.0,13000000.0,Twentieth Century Fox,Best Actress in a Leading Role,4,Steve Kloves,,Steve Kloves,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,Comedy' 'Drama,Comedy,Drama,1989-10-13,Fall
196,tt0441909,Volver,Spanish,Spain,121,R,84.0,11364285.714285715,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,Pedro Almodóvar,,Pedro Almodóvar,Penélope Cruz,Carmen Maura,Lola Dueñas,Comedy' 'Drama,Comedy,Drama,2007-01-26,Winter
197,tt1065073,Boyhood,English,USA,165,R,100.0,4000000.0,IFC Films,Best Motion Picture of the Year,6,Richard Linklater,,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Drama,Drama,,2014-08-15,Summer
205,tt2059255,No,Spanish,Chile,118,R,81.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Pedro Peirano,Antonio Skármeta,Pablo Larraín,Gael García Bernal,Alfredo Castro,Antonia Zegers,Drama,Drama,,2012-08-09,Summer
206,tt0935075,Rabbit Hole,English,USA,91,PG-13,76.0,5000000.0,Lionsgate,Best Performance by an Actress in a Leading Role,1,David Lindsay-Abaire,David Lindsay-Abaire,John Cameron Mitchell,Nicole Kidman,Aaron Eckhart,Dianne Wiest,Drama,Drama,,2011-01-28,Winter
207,tt0108149,Six Degrees of Separation,English,USA,112,R,72.0,12000000.0,Metro-Goldwyn-Mayer,Best Actress in a Leading Role,1,John Guare,John Guare,Fred Schepisi,Will Smith,Stockard Channing,Donald Sutherland,Comedy' 'Drama,Comedy,Drama,1993-12-08,Winter
212,tt0092593,Au Revoir les Enfants,French,France,104,PG,88.0,6100000.0,Orion Classics,Best Foreign Language Film,2,Louis Malle,Louis Malle,Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Drama' 'War,Drama,War,1988-02-12,Winter
214,tt3553976,Captain Fantastic,English,USA,118,R,72.0,15000000.0,Bleecker Street Media,Best Performance by an Actor in a Leading Role,1,Matt Ross,,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Comedy' 'Drama,Comedy,Drama,2016-07-29,Summer
215,tt0338751,The Aviator,English,Germany,170,PG-13,77.0,110000000.0,Miramax,Best Motion Picture of the Year,11,John Logan,,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,Biography' 'Drama,Biography,Drama,2004-12-25,Winter
226,tt1907668,Flight,English,USA,138,R,76.0,31000000.0,Paramount Pictures,Best Performance by an Actor in a Leading Role,2,John Gatins,,Robert Zemeckis,Denzel Washington,Nadine Velazquez,Don Cheadle,Drama' 'Thriller,Drama,Thriller,2012-11-02,Fall
228,tt7349662,BlacKkKlansman,English,USA,135,R,83.0,15000000.0,Focus Features,Best Motion Picture of the Year,6,Charlie Wachtel,David Rabinowitz,Spike Lee,John David Washington,Adam Driver,Laura Harrier,Biography' 'Crime,Biography,Crime,2018-08-10,Summer
234,tt0467406,Juno,English,USA,96,PG-13,81.0,7500000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,4,Diablo Cody,,Jason Reitman,Ellen Page,Michael Cera,Jennifer Garner,Comedy' 'Drama,Comedy,Drama,2007-12-25,Winter
240,tt0454876,Life of Pi,English,USA,127,PG,79.0,120000000.0,Fox 2000 Pictures,Best Motion Picture of the Year,11,Yann Martel,David Magee,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Adventure' 'Drama,Adventure,Drama,2012-11-21,Fall
251,tt0959337,Revolutionary Road,English,USA,119,R,69.0,35000000.0,DreamWorks Distribution,Best Performance by an Actor in a Supporting Role,3,Justin Haythe,Richard Yates,Sam Mendes,Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald,Drama' 'Romance,Drama,Romance,2009-01-23,Winter
254,tt6751668,Parasite,Korean,South Korea,132,R,96.0,11400000.0,Neon,Best Motion Picture of the Year,6,Bong Joon Ho,Bong Joon Ho,Bong Joon Ho,Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,Comedy' 'Drama,Comedy,Drama,2019-11-08,Fall
260,tt0081375,Private Benjamin,English,USA,109,R,59.0,10000000.0,Warner Bros.,Best Actress in a Leading Role,3,Nancy Meyers,Charles Shyer,Howard Zieff,Goldie Hawn,Eileen Brennan,Armand Assante,Comedy' 'War,Comedy,War,1980-10-10,Fall
263,tt0078754,All That Jazz,English,USA,123,R,72.0,52170833.333333336,Twentieth Century Fox,Best Actor in a Leading Role,9,Robert Alan Aurthur,Bob Fosse,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Drama' 'Music,Drama,Music,1979-12-20,Winter
272,tt0086450,To Be or Not to Be,English,USA,107,PG,61.0,9000000.0,Twentieth Century Fox,Best Actor in a Supporting Role,1,Thomas Meehan,Ronny Graham,Alan Johnson,Mel Brooks,Anne Bancroft,Ronny Graham,Comedy' 'Drama,Comedy,Drama,1983-12-16,Winter
273,tt0101410,Barton Fink,English,USA,116,R,69.0,9000000.0,Twentieth Century Fox,Best Actor in a Supporting Role,3,Joel Coen,Ethan Coen,Joel Coen,John Turturro,John Goodman,Judy Davis,Comedy' 'Drama,Comedy,Drama,1991-08-21,Summer
276,tt0085244,The Big Chill,English,USA,105,R,61.0,8000000.0,Columbia Pictures,Best Actress in a Supporting Role,3,Lawrence Kasdan,Barbara Benedek,Lawrence Kasdan,Tom Berenger,Glenn Close,Jeff Goldblum,Comedy' 'Drama,Comedy,Drama,1983-09-30,Fall
279,tt0361748,Inglourious Basterds,English,Germany,153,R,69.0,70000000.0,The Weinstein Company,Best Motion Picture of the Year,8,Quentin Tarantino,,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Adventure' 'Drama,Adventure,Drama,2009-08-21,Summer
287,tt0452623,Gone Baby Gone,English,USA,114,R,72.0,19000000.0,Miramax,Best Performance by an Actress in a Supporting Role,1,Ben Affleck,Aaron Stockard,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Crime' 'Drama,Crime,Drama,2007-10-19,Fall
288,tt0096028,Salaam Bombay!,Hindi,UK,113,Not Rated,78.0,3000000.0,Cinecom Pictures,Best Foreign Language Film,1,Hriday Lani,Mira Nair,Mira Nair,Shafiq Syed,Hansa Vithal,Chanda Sharma,Crime' 'Drama,Crime,Drama,1988-10-07,Fall
289,tt1535109,Captain Phillips,English,USA,134,PG-13,82.0,55000000.0,Columbia Pictures,Best Motion Picture of the Year,6,Billy Ray,Richard Phillips,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Adventure' 'Biography,Adventure,Biography,2013-10-11,Fall
295,tt3741834,Lion,English,UK,118,PG-13,69.0,12000000.0,The Weinstein Company,Best Motion Picture of the Year,6,Saroo Brierley,Luke Davies,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Biography' 'Drama,Biography,Drama,2017-01-06,Winter
301,tt1084950,Rachel Getting Married,English,USA,113,R,82.0,11364285.714285715,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,Jenny Lumet,,Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Debra Winger,Drama' 'Romance,Drama,Romance,2008-10-31,Fall
303,tt0338135,The Barbarian Invasions,French,Canada,99,R,70.0,25631250.0,Miramax,"Best Writing, Original Screenplay",2,Denys Arcand,,Denys Arcand,Rémy Girard,Dorothée Berryman,Stéphane Rousseau,Comedy' 'Crime,Comedy,Crime,2004-03-05,Winter
305,tt0775529,The Savages,English,USA,113,R,85.0,10736538.461538462,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,2,Tamara Jenkins,,Tamara Jenkins,Laura Linney,Philip Seymour Hoffman,Philip Bosco,Comedy' 'Drama,Comedy,Drama,2008-02-01,Winter
307,tt1013753,Milk,English,USA,128,R,84.0,20000000.0,Focus Features,Best Motion Picture of the Year,8,Dustin Lance Black,,Gus Van Sant,Sean Penn,Josh Brolin,Emile Hirsch,Biography' 'Drama,Biography,Drama,2009-01-30,Winter
315,tt1302006,The Irishman,English,USA,209,R,94.0,159000000.0,Netflix,Best Motion Picture of the Year,9,Steven Zaillian,Charles Brandt,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Biography' 'Crime,Biography,Crime,2019-11-27,Fall
325,tt2305051,Wild,English,USA,115,R,76.0,15000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,2,Nick Hornby,Cheryl Strayed,Jean-Marc Vallée,Reese Witherspoon,Laura Dern,Gaby Hoffmann,Biography' 'Drama,Biography,Drama,2014-12-19,Winter
327,tt0088939,The Color Purple,English,USA,154,PG-13,78.0,15000000.0,Warner Bros.,Best Actress in a Leading Role,10,Menno Meyjes,Alice Walker,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Drama,Drama,,1986-02-07,Winter
337,tt0101811,Enchanted April,English,UK,95,PG,78.0,25631250.0,Miramax,Best Actress in a Supporting Role,3,Elizabeth von Arnim,Peter Barnes,Mike Newell,Alfred Molina,Joan Plowright,Miranda Richardson,Drama,Drama,,1992-12-25,Winter
340,tt0870111,Frost/Nixon,English,UK,122,R,80.0,25000000.0,Universal Pictures,Best Motion Picture of the Year,5,Peter Morgan,Peter Morgan,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Biography' 'Drama,Biography,Drama,2009-01-23,Winter
345,tt0081568,The Stunt Man,English,USA,131,R,77.0,3500000.0,Twentieth Century Fox,Best Actor in a Leading Role,3,Lawrence B. Marcus,Richard Rush,Richard Rush,"""Peter O'Toole""",Steve Railsback,Barbara Hershey,Action' 'Comedy,Action,Comedy,1980-06-27,Summer
350,tt0080549,Coal Miner's Daughter,English,USA,124,PG,87.0,46170129.883116886,Universal Pictures,Best Actress in a Leading Role,7,Thomas Rickman,Loretta Lynn,Michael Apted,Sissy Spacek,Tommy Lee Jones,Levon Helm,Biography' 'Drama,Biography,Drama,1980-03-07,Winter
357,tt4648786,Harriet,English,China,125,PG-13,66.0,17000000.0,Focus Features,Best Performance by an Actress in a Leading Role,2,Gregory Allen Howard,Kasi Lemmons,Kasi Lemmons,Cynthia Erivo,Janelle Monáe,Leslie Odom Jr.,Action' 'Biography,Action,Biography,2019-11-01,Fall
359,tt0813547,The Counterfeiters,German,Austria,99,R,78.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Adolf Burger,Stefan Ruzowitzky,Stefan Ruzowitzky,Karl Markovics,August Diehl,Devid Striesow,Crime' 'Drama,Crime,Drama,2008-04-18,Spring
360,tt4555426,Darkest Hour,English,UK,125,PG-13,75.0,30000000.0,Focus Features,Best Motion Picture of the Year,6,Anthony McCarten,,Joe Wright,Gary Oldman,Lily James,Kristin Scott Thomas,Biography' 'Drama,Biography,Drama,2017-12-22,Winter
367,tt0092804,Cry Freedom,English,UK,157,PG,59.0,29000000.0,Universal Pictures,Best Actor in a Supporting Role,3,John Briley,Donald Woods,Richard Attenborough,Denzel Washington,Kevin Kline,Josette Simon,Biography' 'Drama,Biography,Drama,1987-11-06,Fall
370,tt1790885,Zero Dark Thirty,English,USA,157,R,95.0,40000000.0,Columbia Pictures,Best Motion Picture of the Year,5,Mark Boal,,Kathryn Bigelow,Jessica Chastain,Joel Edgerton,Chris Pratt,Drama' 'History,Drama,History,2013-01-11,Winter
376,tt8075192,Shoplifters,Japanese,Japan,121,R,93.0,2900000.0,Magnolia Pictures,Best Foreign Language Film of the Year,1,Hirokazu Koreeda,Hirokazu Koreeda,Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Crime' 'Drama,Crime,Drama,2018-11-23,Fall
378,tt1229381,Hors la loi,French,France,138,R,59.0,3000000.0,Cohen Media Group,Best Foreign Language Film of the Year,1,Rachid Bouchareb,Olivier Lorelle,Rachid Bouchareb,Jamel Debbouze,Roschdy Zem,Sami Bouajila,Crime' 'Drama,Crime,Drama,2010-09-22,Fall
379,tt1820488,War Witch,French,Canada,90,Not Rated,84.0,3500000.0,Tribeca Film,Best Foreign Language Film of the Year,1,Kim Nguyen,Simon Trépanier,Kim Nguyen,Rachel Mwanza,Alain Lino Mic Eli Bastien,Serge Kanyinda,Drama' 'War,Drama,War,2012-08-23,Summer
382,tt0078788,Apocalypse Now,English,USA,147,R,94.0,31500000.0,United Artists,Best Actor in a Supporting Role,8,John Milius,Francis Ford Coppola,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Drama' 'Mystery,Drama,Mystery,1979-08-15,Summer
390,tt0099674,The Godfather: Part III,English,USA,162,R,60.0,54000000.0,Paramount Pictures,Best Actor in a Supporting Role,7,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Crime' 'Drama,Crime,Drama,1990-12-25,Winter
399,tt0408306,Munich,English,France,164,R,74.0,70000000.0,Universal Pictures,Best Motion Picture of the Year,5,Tony Kushner,Eric Roth,Steven Spielberg,Eric Bana,Daniel Craig,Marie-Josée Croze,Action' 'Drama,Action,Drama,2006-01-06,Winter
404,tt0104797,Malcolm X,English,USA,202,PG-13,73.0,33000000.0,Warner Bros.,Best Actor in a Leading Role,2,Alex Haley,Malcolm X,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Biography' 'Drama,Biography,Drama,1992-11-18,Fall
406,tt0414387,Pride & Prejudice,English,France,129,PG,82.0,28000000.0,Focus Features,Best Performance by an Actress in a Leading Role,4,Deborah Moggach,Jane Austen,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Drama' 'Romance,Drama,Romance,2005-11-23,Fall
410,tt0117589,Secrets & Lies,English,UK,136,R,91.0,4500000.0,October Films,Best Actress in a Leading Role,5,Mike Leigh,,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Comedy' 'Drama,Comedy,Drama,1997-02-28,Winter
415,tt0887912,The Hurt Locker,English,USA,131,R,95.0,15000000.0,Summit Entertainment,Best Motion Picture of the Year,9,Mark Boal,,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty,Drama' 'Thriller,Drama,Thriller,2009-07-31,Summer
424,tt0114746,12 Monkeys,English,USA,129,R,74.0,29000001.0,Universal Pictures,Best Actor in a Supporting Role,2,Chris Marker,David Webb Peoples,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Mystery' 'Sci-Fi,Mystery,Sci-Fi,1996-01-05,Winter
426,tt1950186,Ford v Ferrari,English,USA,152,PG-13,81.0,97600000.0,Twentieth Century Fox,Best Motion Picture of the Year,4,Jez Butterworth,John-Henry Butterworth,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Action' 'Biography,Action,Biography,2019-11-15,Fall
430,tt0758758,Into the Wild,English,USA,148,R,73.0,15000000.0,Paramount Pictures,Best Performance by an Actor in a Supporting Role,2,Sean Penn,Jon Krakauer,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Adventure' 'Biography,Adventure,Biography,2007-10-19,Fall
432,tt0190332,"Crouching Tiger, Hidden Dragon",Mandarin,Taiwan,120,PG-13,94.0,17000000.0,Sony Pictures Classics,Best Art Direction-Set Decoration,10,Du Lu Wang,Hui-Ling Wang,Ang Lee,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Action' 'Adventure,Action,Adventure,2001-01-12,Winter
