,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
2740,tt0079123,The Europeans,English,UK,90,Unrated,64.0,,Levitt-Pickman,Best Costume Design,1,Henry James,Ruth Prawer Jhabvala,James Ivory,Lee Remick,Robin Ellis,Wesley Addy,Drama' 'Romance,Drama,Romance,,Fall
2741,tt2103281,Dawn of the Planet of the Apes,English,USA,130,PG-13,79.0,170000000.0,Twentieth Century Fox,Best Achievement in Visual Effects,1,Mark Bomback,Rick Jaffa,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Action' 'Adventure,Action,Adventure,2014-07-11,Summer
2742,tt0104691,The Last of the Mohicans,English,USA,112,R,76.0,40000000.0,Twentieth Century Fox,Best Sound,1,James Fenimore Cooper,John L. Balderston,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Action' 'Adventure,Action,Adventure,1992-09-25,Fall
2743,tt0133093,The Matrix,English,USA,136,R,73.0,63000000.0,Warner Bros.,"Best Effects, Sound Effects Editing",4,Lilly Wachowski,Lana Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Action' 'Sci-Fi,Action,Sci-Fi,1999-03-31,Winter
2747,tt1213641,First Man,English,USA,141,PG-13,84.0,59000000.0,Universal Pictures,Best Achievement in Production Design,4,Josh Singer,James R. Hansen,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,Biography' 'Drama,Biography,Drama,2018-10-12,Fall
2751,tt2245084,Big Hero 6,English,USA,102,PG,74.0,165000000.0,Walt Disney Studios Motion Pictures,Best Animated Feature Film of the Year,1,Jordan Roberts,Robert L. Baird,Don Hall,Ryan Potter,Scott Adsit,Jamie Chung,Animation' 'Action,Animation,Action,2014-11-07,Fall
2752,tt0088846,Brazil,English,UK,132,R,84.0,15000000.0,Universal Pictures,Best Art Direction-Set Decoration,2,Terry Gilliam,Tom Stoppard,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Drama' 'Sci-Fi,Drama,Sci-Fi,1985-12-18,Winter
2755,tt0086567,WarGames,English,USA,114,PG,77.0,12000000.0,MGM/UA Entertainment Company,Best Cinematography,3,Lawrence Lasker,Walter F. Parkes,John Badham,Matthew Broderick,Ally Sheedy,John Wood,Action' 'Adventure,Action,Adventure,1983-06-03,Summer
2759,tt0452624,The Good German,English,USA,105,R,49.0,32000000.0,Warner Bros.,"Best Achievement in Music Written for Motion Pictures, Original Score",1,Paul Attanasio,Joseph Kanon,Steven Soderbergh,George Clooney,Cate Blanchett,Tobey Maguire,Drama' 'Mystery,Drama,Mystery,2007-01-19,Winter
2763,tt1772341,Wreck-It Ralph,English,USA,101,PG,72.0,165000000.0,Walt Disney Studios Motion Pictures,Best Animated Feature,1,Rich Moore,Phil Johnston,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Animation' 'Adventure,Animation,Adventure,2012-11-02,Fall
2764,tt0114369,Se7en,English,USA,127,R,65.0,33000000.0,New Line Cinema,Best Film Editing,1,Andrew Kevin Walker,,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Crime' 'Drama,Crime,Drama,1995-09-22,Fall
2767,tt0120603,Beloved,English,USA,172,R,57.0,80000000.0,Buena Vista Pictures,Best Costume Design,1,Toni Morrison,Akosua Busia,Jonathan Demme,Oprah Winfrey,Danny Glover,Yada Beener,Drama' 'History,Drama,History,1998-10-16,Fall
2780,tt0108065,Searching for Bobby Fischer,English,USA,109,PG,89.0,12000000.0,Paramount Pictures,Best Cinematography,1,Fred Waitzkin,Steven Zaillian,Steven Zaillian,Joe Mantegna,Ben Kingsley,Max Pomeranc,Biography' 'Drama,Biography,Drama,1993-08-11,Summer
2781,tt0910970,WALL·E,English,USA,98,G,95.0,180000000.0,Walt Disney Studios Home Entertainment,"Best Writing, Original Screenplay",6,Andrew Stanton,Pete Docter,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Animation' 'Adventure,Animation,Adventure,2008-06-27,Summer
2788,tt1618448,Racing Extinction,English,USA,90,Not Rated,81.0,1500000.0,Abramorama,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Mark Monroe,,Louie Psihoyos,Elon Musk,Joel Sartore,Louie Psihoyos,Documentary' 'News,Documentary,News,2015-09-18,Fall
2789,tt0110478,Maverick,English,USA,127,PG,62.0,75000000.0,Warner Bros.,Best Costume Design,1,Roy Huggins,William Goldman,Richard Donner,Mel Gibson,Jodie Foster,James Garner,Action' 'Adventure,Action,Adventure,1994-05-20,Spring
2790,tt0120746,The Mask of Zorro,English,USA,136,PG-13,63.0,95000000.0,TriStar Pictures,"Best Effects, Sound Effects Editing",2,Johnston McCulley,Ted Elliott,Martin Campbell,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,Action' 'Adventure,Action,Adventure,1998-07-17,Summer
2792,tt1035736,Coco Before Chanel,French,France,105,PG-13,65.0,23000000.0,Sony Pictures Classics,Best Achievement in Costume Design,1,Edmonde Charles-Roux,Anne Fontaine,Anne Fontaine,Audrey Tautou,Benoît Poelvoorde,Alessandro Nivola,Biography' 'Drama,Biography,Drama,2009-11-06,Fall
2793,tt2015381,Guardians of the Galaxy,English,USA,121,PG-13,76.0,170000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Makeup and Hairstyling,2,James Gunn,Nicole Perlman,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Action' 'Adventure,Action,Adventure,2014-08-01,Summer
2795,tt2321405,My Life as a Zucchini,French,Switzerland,70,PG-13,85.0,8000000.0,GKIDS,Best Animated Feature Film of the Year,1,Céline Sciamma,Germano Zullo,Claude Barras,Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud,Animation' 'Comedy,Animation,Comedy,2017-02-24,Winter
2796,tt0120591,Armageddon,English,USA,151,PG-13,42.0,140000000.0,Buena Vista Pictures,"Best Effects, Sound Effects Editing",4,Jonathan Hensleigh,J.J. Abrams,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Action' 'Adventure,Action,Adventure,1998-07-01,Summer
2801,tt0182789,Bicentennial Man,English,USA,132,PG,42.0,100000000.0,Buena Vista Pictures,Best Makeup,1,Isaac Asimov,Isaac Asimov,Chris Columbus,Robin Williams,Embeth Davidtz,Sam Neill,Comedy' 'Drama,Comedy,Drama,1999-12-17,Winter
