,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
1633,,The Hobbit: An Unexpected Journey,['Peter Jackson'],"['Fran Walsh', 'Philippa Boyens', '3 more credits']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage']","['Adventure', 'Fantasy']",English,New Zealand,2h 49min,PG-13,14-Dec-12,58.0,180000000.0,Fathom Events
1634,,Muddy River,['Kôhei Oguri'],"['Teru Miyamoto', 'Takako Shigemori']","['Takahiro Tamura', 'Mariko Kaga', 'Nobutaka Asahara']",['Drama'],Japanese,Japan,1h 45min,1h 45min,,,,Unifilms
1635,,Six Shooter,['Martin McDonagh'],['Martin McDonagh'],"['Brendan Gleeson', 'Rúaidhrí Conroy', 'David Wilmot']","['Short', 'Comedy', 'Drama']",English,UK,27min,Not Rated,Feb-05,,,Magnolia Home Entertainment
1636,,Síðasti bærinn,['Rúnar Rúnarsson'],['Rúnar Rúnarsson'],"['Jón Sigurbjörnsson', 'Kristjana Vagnsdottir', 'Kjartan Bjargmundsson']","['Short', 'Drama']",Icelandic,Iceland,17min,TV-PG,Oct-04,,,
1637,,The Big Chill,['Lawrence Kasdan'],"['Lawrence Kasdan', 'Barbara Benedek']","['Tom Berenger', 'Glenn Close', 'Jeff Goldblum']","['Comedy', 'Drama']",English,USA,1h 45min,R,30-Sep-83,61.0,8000000.0,Columbia Pictures
1638,,Starting Over,['Alan J. Pakula'],"['Dan Wakefield', 'James L. Brooks']","['Burt Reynolds', 'Jill Clayburgh', 'Candice Bergen']","['Comedy', 'Romance']",English,USA,1h 45min,R,5-Oct-79,64.0,,Paramount Pictures
1639,,The Fisher King,['Terry Gilliam'],['Richard LaGravenese'],"['Jeff Bridges', 'Robin Williams', 'Adam Bryant']","['Comedy', 'Drama', 'Fantasy']",English,USA,2h 17min,R,27-Sep-91,61.0,24000000.0,TriStar Pictures
1640,,Innerspace,['Joe Dante'],"['Chip Proser', 'Jeffrey Boam', '1 more credit']","['Dennis Quaid', 'Martin Short', 'Meg Ryan']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Thriller']",English,USA,2h,PG,1-Jul-87,66.0,27000000.0,Warner Bros.
1641,,Kangaroo Court,['Sean Astin'],['Laurence Andries'],"['John Colton', 'Gregory Hines', 'Stoney Jackson']",['Short'],English,USA,33min,33min,,,,
1642,,Get Out,['Jordan Peele'],['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford']","['Horror', 'Mystery', 'Thriller']",English,USA,1h 44min,R,24-Feb-17,85.0,4500000.0,Universal Pictures
1643,,Speed,['Jan de Bont'],['Graham Yost'],"['Keanu Reeves', 'Dennis Hopper', 'Sandra Bullock']","['Action', 'Adventure', 'Thriller']",English,USA,1h 56min,R,10-Jun-94,78.0,30000000.0,Twentieth Century Fox
1644,,Frost/Nixon,['Ron Howard'],"['Peter Morgan', 'Peter Morgan']","['Frank Langella', 'Michael Sheen', 'Kevin Bacon']","['Biography', 'Drama', 'History']",English,UK,2h 2min,R,23-Jan-09,80.0,25000000.0,Universal Pictures
1645,,The Hurt Locker,['Kathryn Bigelow'],['Mark Boal'],"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty']","['Drama', 'Thriller', 'War']",English,USA,2h 11min,R,31-Jul-09,95.0,15000000.0,Summit Entertainment
1646,,The Voorman Problem,['Mark Gill'],"['Mark Gill', 'Baldwin Li', '1 more credit']","['Martin Freeman', 'Simon Griffiths', 'Tom Hollander']","['Short', 'Comedy', 'Drama', 'Fantasy']",English,UK,13min,TV-PG,25-Apr-13,,,
1647,,House of Sand and Fog,['Vadim Perelman'],"['Andre Dubus III', 'Vadim Perelman', '1 more credit']","['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard']","['Crime', 'Drama']",English,USA,2h 6min,R,9-Jan-04,71.0,16500000.0,DreamWorks Distribution
1648,,The Wild Thornberrys,"['Cathy Malkasian', 'Jeff McGrath']","['Arlene Klasky', 'Gabor Csupo', '4 more credits']","['Tim Curry', 'Rupert Everett', 'Flea']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,USA,1h 25min,PG,20-Dec-02,69.0,25000000.0,Paramount Pictures
1649,,Honeysuckle Rose,['Jerry Schatzberg'],"['Gösta Stevens', 'Gustaf Molander', '3 more credits']","['Willie Nelson', 'Dyan Cannon', 'Amy Irving']","['Drama', 'Music', 'Romance']",English,USA,1h 59min,PG,18-Jul-80,,,Warner Bros.
1650,,Carol,['Todd Haynes'],"['Phyllis Nagy', 'Patricia Highsmith']","['Cate Blanchett', 'Rooney Mara', 'Sarah Paulson']","['Drama', 'Romance']",English,UK,1h 58min,R,15-Jan-16,94.0,11800000.0,The Weinstein Company
1651,,Beyond Silence,['Caroline Link'],"['Caroline Link', 'Beth Serlin']","['Sylvie Testud', 'Tatjana Trieb', 'Howie Seago']","['Drama', 'Music']",German,Germany,1h 49min,PG-13,5-Jun-98,,,Miramax
1652,,Spielzeugland,['Jochen Alexander Freydank'],"['Johann A. Bunners', 'Jochen Alexander Freydank']","['Julia Jäger', 'Cedric Eich', 'Tamay Bulut Özvatan']","['Short', 'Drama', 'War']",German,Germany,14min,TV-PG,2008,,,Magnolia Pictures
1653,,"Hail, Caesar!","['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']","['Josh Brolin', 'George Clooney', 'Alden Ehrenreich']","['Comedy', 'Drama', 'Music', 'Mystery']",English,USA,1h 46min,PG-13,5-Feb-16,72.0,22000000.0,Universal Pictures
1654,,Mudbound,['Dee Rees'],"['Virgil Williams', 'Dee Rees', '1 more credit']","['Jason Mitchell', 'Carey Mulligan', 'Jason Clarke']","['Drama', 'War']",English,USA,2h 14min,R,17-Nov-17,85.0,,Netflix
1655,,The Player,['Robert Altman'],"['Michael Tolkin', 'Michael Tolkin']","['Tim Robbins', 'Greta Scacchi', 'Fred Ward']","['Comedy', 'Crime', 'Drama', 'Thriller']",English,USA,2h 4min,R,8-May-92,86.0,8000000.0,Fine Line Features
1656,,Frozen River,['Courtney Hunt'],['Courtney Hunt'],"['Melissa Leo', 'Misty Upham', 'Charlie McDermott']","['Crime', 'Drama']",English,USA,1h 37min,R,5-Sep-08,82.0,1000000.0,Sony Pictures Classics
1657,,Resurrection,['Daniel Petrie'],['Lewis John Carlino'],"['Ellen Burstyn', 'Sam Shepard', 'Richard Farnsworth']","['Drama', 'Fantasy']",English,USA,1h 43min,PG,26-Sep-80,,,Universal Pictures
