,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
373,tt2718492,Ida,['Pawel Pawlikowski'],"['Pawel Pawlikowski', 'Rebecca Lenkiewicz']","['Agata Kulesza', 'Agata Trzebuchowska', 'Dawid Ogrodnik']",['Drama'],Polish,Poland,1h 22min,PG-13,25-Oct-13,91.0,,Music Box Films
374,tt0790636,Dallas Buyers Club,['Jean-Marc Vallée'],"['Craig Borten', 'Melisa Wallack']","['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto']","['Biography', 'Drama']",English,USA,1h 57min,R,22-Nov-13,80.0,5000000.0,Focus Features
375,tt2278388,The Grand Budapest Hotel,['Wes Anderson'],"['Stefan Zweig', 'Wes Anderson', '2 more credits']","['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']","['Adventure', 'Comedy', 'Crime']",English,Germany,1h 39min,R,28-Mar-14,88.0,25000000.0,Fox Searchlight Pictures
376,tt2119532,Hacksaw Ridge,['Mel Gibson'],"['Robert Schenkkan', 'Andrew Knight']","['Andrew Garfield', 'Sam Worthington', 'Luke Bracey']","['Biography', 'Drama', 'History', 'War']",English,Australia,2h 19min,R,4-Nov-16,71.0,40000000.0,Lionsgate
377,tt0099422,Dick Tracy,['Warren Beatty'],"['Chester Gould', 'Jim Cash', '1 more credit']","['Warren Beatty', 'Madonna', 'Al Pacino']","['Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']",English,USA,1h 45min,PG,15-Jun-90,68.0,47000000.0,Buena Vista Pictures Distribution
378,tt0111579,Burnt by the Sun,['Nikita Mikhalkov'],"['Nikita Mikhalkov', 'Rustam Ibragimbekov', '3 more credits']","['Nikita Mikhalkov', 'Ingeborga Dapkunaite', 'Oleg Menshikov']","['Drama', 'History', 'War']",Russian,Russia,2h 15min,R,21-Apr-95,,2800000.0,Columbia TriStar Home Video
379,tt0090830,Children of a Lesser God,['Randa Haines'],"['Mark Medoff', 'Hesper Anderson', '1 more credit']","['William Hurt', 'Marlee Matlin', 'Piper Laurie']","['Drama', 'Romance']",English,USA,1h 59min,R,31-Oct-86,80.0,10500000.0,Paramount Pictures
380,tt0112579,The Bridges of Madison County,['Clint Eastwood'],"['Richard LaGravenese', 'Robert James Waller']","['Clint Eastwood', 'Meryl Streep', 'Annie Corley']","['Drama', 'Romance']",English,USA,2h 15min,PG-13,2-Jun-95,66.0,24000000.0,Warner Bros.
381,tt0119822,As Good as It Gets,['James L. Brooks'],"['Mark Andrus', 'Mark Andrus', '1 more credit']","['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear']","['Comedy', 'Drama', 'Romance']",English,USA,2h 19min,PG-13,25-Dec-97,67.0,50000000.0,TriStar Pictures
382,tt0102571,Obecná skola,['Jan Sverák'],"['Zdenek Sverák', 'Zdenek Sverák']","['Jan Tríska', 'Zdenek Sverák', 'Libuse Safránková']","['Comedy', 'Drama', 'Family', 'History']",Czech,Czechoslovakia,1h 40min,1h 40min,,,,
383,tt0419279,Yesterday,['Darrell Roodt'],['Darrell Roodt'],"['Leleti Khumalo', 'Lihle Mvelase', 'Kenneth Khambula']",['Drama'],Zulu,South Africa,1h 30min,R,3-Sep-04,,,HBO Films
384,tt0288330,Zelary,['Ondrej Trojan'],"['Kveta Legátová', 'Petr Jarchovský']","['Anna Geislerová', 'György Cserhalmi', 'Ivan Trojan']","['Drama', 'Romance', 'War']",Czech,Czech Republic,2h 30min,R,4-Sep-03,66.0,,Sony Pictures Classics
385,tt0116999,Marvin's Room,['Jerry Zaks'],"['Scott McPherson', 'Scott McPherson']","['Meryl Streep', 'Leonardo DiCaprio', 'Diane Keaton']",['Drama'],English,USA,1h 38min,PG-13,28-Feb-97,68.0,23000000.0,Miramax
386,tt0107822,The Piano,['Jane Campion'],['Jane Campion'],"['Holly Hunter', 'Harvey Keitel', 'Sam Neill']","['Drama', 'Music', 'Romance']",English,New Zealand,2h 1min,R,11-Feb-94,89.0,7000000.0,Miramax
387,tt0110638,Nell,['Michael Apted'],"['Mark Handley', 'William Nicholson', '1 more credit']","['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']",['Drama'],English,USA,1h 52min,PG-13,23-Dec-94,60.0,31000000.0,Twentieth Century Fox
388,tt0120815,Saving Private Ryan,['Steven Spielberg'],['Robert Rodat'],"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']","['Drama', 'War']",English,USA,2h 49min,R,24-Jul-98,91.0,70000000.0,DreamWorks Distribution
389,tt1596363,The Big Short,['Adam McKay'],"['Charles Randolph', 'Adam McKay', '1 more credit']","['Christian Bale', 'Steve Carell', 'Ryan Gosling']","['Biography', 'Comedy', 'Drama', 'History']",English,USA,2h 10min,R,23-Dec-15,81.0,28000000.0,Paramount Pictures
390,tt0264464,Catch Me If You Can,['Steven Spielberg'],"['Jeff Nathanson', 'Frank Abagnale Jr.', '1 more credit']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']","['Biography', 'Crime', 'Drama']",English,USA,2h 21min,PG-13,25-Dec-02,75.0,52000000.0,DreamWorks Distribution
391,tt1033575,The Descendants,['Alexander Payne'],"['Alexander Payne', 'Nat Faxon', '2 more credits']","['George Clooney', 'Shailene Woodley', 'Amara Miller']","['Comedy', 'Drama']",English,USA,1h 55min,R,9-Dec-11,84.0,20000000.0,Fox Searchlight Pictures
392,tt0119164,The Full Monty,['Peter Cattaneo'],['Simon Beaufoy'],"['Robert Carlyle', 'Tom Wilkinson', 'Mark Addy']","['Comedy', 'Drama']",English,UK,1h 31min,R,19-Sep-97,75.0,3500000.0,Fox Searchlight Pictures
393,tt0217505,Gangs of New York,['Martin Scorsese'],"['Jay Cocks', 'Jay Cocks', '2 more credits']","['Leonardo DiCaprio', 'Cameron Diaz', 'Daniel Day-Lewis']","['Crime', 'Drama']",English,USA,2h 47min,R,20-Dec-02,72.0,100000000.0,Miramax
394,tt0118799,Life Is Beautiful,['Roberto Benigni'],"['Vincenzo Cerami', 'Roberto Benigni']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']","['Comedy', 'Drama', 'Romance', 'War']",Italian,Italy,1h 56min,PG-13,20-Dec-97,59.0,20000000.0,Miramax
395,tt0086197,The Right Stuff,['Philip Kaufman'],"['Philip Kaufman', 'Tom Wolfe']","['Sam Shepard', 'Scott Glenn', 'Ed Harris']","['Adventure', 'Biography', 'Drama', 'History']",English,USA,3h 13min,PG,17-Feb-84,91.0,27000000.0,Warner Bros.
396,tt0082206,Coup de Torchon,['Bertrand Tavernier'],"['Jean Aurenche', 'Bertrand Tavernier', '1 more credit']","['Philippe Noiret', 'Isabelle Huppert', 'Stéphane Audran']","['Comedy', 'Crime', 'Drama']",French,France,2h 8min,Not Rated,4-Nov-81,,,Biograph International
397,tt0120274,Tango,['Carlos Saura'],['Carlos Saura'],"['Miguel Ángel Solá', 'Cecilia Narova', 'Mía Maestro']","['Drama', 'Musical']",Spanish,Spain,1h 55min,PG-13,12-Feb-99,,,Sony Pictures Classics
398,tt0180073,Quills,['Philip Kaufman'],"['Doug Wright', 'Doug Wright']","['Geoffrey Rush', 'Kate Winslet', 'Joaquin Phoenix']","['Biography', 'Drama']",English,UK,2h 4min,R,19-Jan-01,70.0,13500000.0,Fox Searchlight Pictures
399,tt0477348,No Country for Old Men,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen', '1 more credit']","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']","['Crime', 'Drama', 'Thriller']",English,USA,2h 2min,R,21-Nov-07,91.0,25000000.0,Hispanic Education And Media Group
400,tt0436697,The Queen,['Stephen Frears'],['Peter Morgan'],"['Helen Mirren', 'Michael Sheen', 'James Cromwell']","['Biography', 'Drama', 'History']",English,UK,1h 43min,PG-13,17-Nov-06,91.0,,Miramax
401,tt0094606,The Accidental Tourist,['Lawrence Kasdan'],"['Anne Tyler', 'Frank Galati', '1 more credit']","['William Hurt', 'Kathleen Turner', 'Geena Davis']","['Drama', 'Romance']",English,USA,2h 1min,PG,6-Jan-89,53.0,,Warner Bros.
402,tt1560747,The Master,['Paul Thomas Anderson'],['Paul Thomas Anderson'],"['Philip Seymour Hoffman', 'Joaquin Phoenix', 'Amy Adams']",['Drama'],English,USA,2h 18min,R,21-Sep-12,86.0,32000000.0,The Weinstein Company
403,tt5083738,The Favourite,['Yorgos Lanthimos'],"['Deborah Davis', 'Tony McNamara']","['Olivia Colman', 'Emma Stone', 'Rachel Weisz']","['Biography', 'Comedy', 'Drama', 'History']",English,Ireland,1h 59min,R,21-Dec-18,91.0,15000000.0,Fox Searchlight Pictures
404,tt0105328,Schtonk,['Helmut Dietl'],"['Helmut Dietl', 'Ulrich Limmer', '4 more credits']","['Götz George', 'Uwe Ochsenknecht', 'Christiane Hörbiger']",['Comedy'],German,Germany,1h 55min,1h 55min,,,,
405,tt1478338,Bridesmaids,['Paul Feig'],"['Kristen Wiig', 'Annie Mumolo']","['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne']","['Comedy', 'Romance']",English,USA,2h 5min,R,13-May-11,75.0,32500000.0,Universal Pictures
406,tt0311519,The Man Without a Past,['Aki Kaurismäki'],['Aki Kaurismäki'],"['Markku Peltola', 'Kati Outinen', 'Annikki Tähti']","['Comedy', 'Drama', 'Romance']",Finnish,Finland,1h 37min,PG-13,1-Mar-02,84.0,,Columbia TriStar Home Entertainment
407,tt2179136,American Sniper,['Clint Eastwood'],"['Jason Hall', 'Chris Kyle', '2 more credits']","['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner']","['Action', 'Biography', 'Drama', 'War']",English,USA,2h 13min,R,16-Jan-15,72.0,58800000.0,Warner Bros.
408,tt4239726,Tanna,"['Martin Butler', 'Bentley Dean']","['Martin Butler', 'John Collee', '1 more credit']","['Mungau Dain', 'Marie Wawa', 'Marceline Rofit']","['Adventure', 'Drama', 'Romance']",Aboriginal,Australia,1h 44min,Not Rated,23-Sep-17,75.0,,Lightyear Entertainment
409,tt0079625,El nido,['Jaime de Armiñán'],['Jaime de Armiñán'],"['Héctor Alterio', 'Ana Torrent', 'Luis Politti']",['Drama'],Spanish,Spain,1h 37min,PG,18-Sep-80,,,Quartet Films
410,tt1542344,127 Hours,['Danny Boyle'],"['Danny Boyle', 'Simon Beaufoy', '1 more credit']","['James Franco', 'Amber Tamblyn', 'Kate Mara']","['Biography', 'Drama']",English,USA,1h 34min,R,28-Jan-11,82.0,18000000.0,Twentieth Century Fox
411,tt0416044,Mongol: The Rise of Genghis Khan,['Sergei Bodrov'],"['Arif Aliev', 'Sergei Bodrov']","['Tadanobu Asano', 'Amadu Mamadakov', 'Khulan Chuluun']","['Action', 'Biography', 'Drama', 'History', 'War']",Mongolian,Russia,2h 6min,R,4-Jul-08,74.0,18000000.0,Picturehouse
412,tt0183659,Pollock,['Ed Harris'],"['Steven Naifeh', 'Gregory White Smith', '2 more credits']","['Ed Harris', 'Marcia Gay Harden', 'Robert Knott']","['Biography', 'Drama']",English,USA,2h 2min,R,23-Mar-01,77.0,6000000.0,Sony Pictures Classics
413,tt7549996,Judy,['Rupert Goold'],"['Tom Edge', 'Peter Quilter']","['Renée Zellweger', 'Jessie Buckley', 'Finn Wittrock']","['Biography', 'Drama', 'Romance']",English,UK,1h 58min,PG-13,4-Oct-19,66.0,,Roadside Attractions
414,tt0086429,Testament,['Lynne Littman'],"['Carol Amen', 'John Sacret Young']","['Jane Alexander', 'William Devane', 'Rossie Harris']",['Drama'],English,USA,1h 30min,PG,5-Jan-84,,,Paramount Pictures
415,tt0110367,Little Women,['Gillian Armstrong'],"['Louisa May Alcott', 'Robin Swicord']","['Susan Sarandon', 'Winona Ryder', 'Kirsten Dunst']","['Drama', 'Family', 'Romance']",English,USA,1h 55min,PG,25-Dec-94,87.0,18000000.0,Columbia Pictures
416,tt0078902,Breaking Away,['Peter Yates'],['Steve Tesich'],"['Dennis Christopher', 'Dennis Quaid', 'Daniel Stern']","['Comedy', 'Drama', 'Romance', 'Sport']",English,USA,1h 41min,PG,20-Jul-79,91.0,2300000.0,Twentieth Century Fox
417,tt1210166,Moneyball,['Bennett Miller'],"['Steven Zaillian', 'Aaron Sorkin', '2 more credits']","['Brad Pitt', 'Robin Wright', 'Jonah Hill']","['Biography', 'Drama', 'Sport']",English,USA,2h 13min,PG-13,23-Sep-11,87.0,50000000.0,Columbia Pictures
418,tt0161860,Nirgendwo in Afrika,['Caroline Link'],"['Caroline Link', 'Stefanie Zweig']","['Juliane Köhler', 'Merab Ninidze', 'Matthias Habich']","['Biography', 'Drama', 'History']",English,Germany,2h 21min,R,16-May-03,72.0,,Zeitgeist Films
419,tt0085767,The Revolt of Job,"['Imre Gyöngyössy', 'Barna Kabay']","['Imre Gyöngyössy', 'Katalin Gyöngyössy', '2 more credits']","['Hédi Temessy', 'Ferenc Zenthe', 'Gábor Fehér']",['Drama'],Hungarian,Hungary,1h 38min,1h 38min,,,,TeleCulture
420,tt0120689,The Green Mile,['Frank Darabont'],"['Stephen King', 'Frank Darabont']","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']","['Crime', 'Drama', 'Fantasy', 'Mystery']",English,USA,3h 9min,R,10-Dec-99,61.0,60000000.0,Warner Bros.
421,tt0878804,The Blind Side,['John Lee Hancock'],"['John Lee Hancock', 'Michael Lewis']","['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw']","['Biography', 'Drama', 'Sport']",English,USA,2h 9min,PG-13,20-Nov-09,53.0,29000000.0,Warner Bros.
422,tt0097239,Driving Miss Daisy,['Bruce Beresford'],"['Alfred Uhry', 'Alfred Uhry']","['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd']",['Drama'],English,USA,1h 39min,PG,26-Jan-90,81.0,7500000.0,Warner Bros.
423,tt0109348,Bullets Over Broadway,['Woody Allen'],"['Woody Allen', 'Douglas McGrath']","['John Cusack', 'Dianne Wiest', 'Jennifer Tilly']","['Comedy', 'Crime']",English,USA,1h 38min,R,24-Feb-95,,20000000.0,Miramax
424,tt0090576,The Assault,['Fons Rademakers'],"['Gerard Soeteman', 'Harry Mulisch']","['Derek de Lint', 'Marc van Uchelen', 'Monique van de Ven']","['Drama', 'History', 'Romance', 'War']",Dutch,Netherlands,2h 24min,PG,6-Feb-86,,,Cannon Film Distributors
425,tt0101921,Fried Green Tomatoes,['Jon Avnet'],"['Fannie Flagg', 'Fannie Flagg', '1 more credit']","['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson']",['Drama'],English,USA,2h 10min,PG-13,24-Jan-92,64.0,11000000.0,Universal Pictures
426,tt0369339,Collateral,['Michael Mann'],['Stuart Beattie'],"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith']","['Crime', 'Drama', 'Thriller']",English,USA,2h,R,6-Aug-04,71.0,65000000.0,DreamWorks Distribution
427,tt0112573,Braveheart,['Mel Gibson'],['Randall Wallace'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']","['Biography', 'Drama', 'History', 'War']",English,USA,2h 58min,R,24-May-95,68.0,72000000.0,Paramount Pictures
428,tt0088811,Angry Harvest,['Agnieszka Holland'],"['Paul Hengge', 'Agnieszka Holland', '2 more credits']","['Armin Mueller-Stahl', 'Elisabeth Trissenaar', 'Wojciech Pszoniak']","['Drama', 'Romance', 'War']",German,West Germany,1h 45min,R,Mar-86,,,European Classics
429,tt1832382,A Separation,['Asghar Farhadi'],['Asghar Farhadi'],"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']","['Drama', 'Thriller']",Persian,Iran,2h 3min,PG-13,16-Mar-11,95.0,500000.0,Sony Pictures Classics
430,tt6543652,Cold War,['Pawel Pawlikowski'],"['Pawel Pawlikowski', 'Pawel Pawlikowski', '2 more credits']","['Joanna Kulig', 'Tomasz Kot', 'Borys Szyc']","['Drama', 'History', 'Music', 'Romance']",Polish,Poland,1h 29min,R,8-Jun-18,90.0,,Amazon Studios
431,tt0104774,A Place in the World,['Adolfo Aristarain'],"['Adolfo Aristarain', 'Adolfo Aristarain', '2 more credits']","['José Sacristán', 'Federico Luppi', 'Leonor Benedetto']",['Drama'],Spanish,Argentina,2h,PG,1994,,,First Look International
432,tt0095953,Rain Man,['Barry Levinson'],"['Barry Morrow', 'Ronald Bass', '1 more credit']","['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino']",['Drama'],English,USA,2h 13min,R,16-Dec-88,65.0,25000000.0,United Artists
433,tt0352248,Cinderella Man,['Ron Howard'],"['Cliff Hollingsworth', 'Akiva Goldsman', '1 more credit']","['Russell Crowe', 'Renée Zellweger', 'Craig Bierko']","['Biography', 'Drama', 'History', 'Romance', 'Sport']",English,USA,2h 24min,PG-13,3-Jun-05,69.0,88000000.0,Universal Pictures
434,tt0117364,The Portrait of a Lady,['Jane Campion'],"['Henry James', 'Laura Jones']","['Nicole Kidman', 'John Malkovich', 'Barbara Hershey']","['Drama', 'Romance']",English,UK,2h 24min,PG-13,17-Jan-97,61.0,,Gramercy Pictures
435,tt0311113,Master and Commander: The Far Side of the World,['Peter Weir'],"[""Patrick O'Brian"", 'Peter Weir', '1 more credit']","['Russell Crowe', 'Paul Bettany', 'Billy Boyd']","['Action', 'Adventure', 'Drama', 'History', 'War']",English,USA,2h 18min,PG-13,14-Nov-03,81.0,150000000.0,Twentieth Century Fox
436,tt0277027,I Am Sam,['Jessie Nelson'],"['Kristine Johnson', 'Jessie Nelson']","['Sean Penn', 'Michelle Pfeiffer', 'Dakota Fanning']",['Drama'],English,USA,2h 12min,PG-13,25-Jan-02,28.0,22000000.0,New Line Cinema
437,tt0102426,Mediterraneo,['Gabriele Salvatores'],['Enzo Monteleone'],"['Diego Abatantuono', 'Claudio Bigagli', 'Giuseppe Cederna']","['Comedy', 'Drama', 'War']",Italian,Italy,1h 36min,R,31-Jan-91,,,Miramax
438,tt0090863,The Color of Money,['Martin Scorsese'],"['Walter Tevis', 'Richard Price']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio']","['Drama', 'Sport']",English,USA,1h 59min,R,17-Oct-86,77.0,13800000.0,Buena Vista Pictures
439,tt1454468,Gravity,['Alfonso Cuarón'],"['Alfonso Cuarón', 'Jonás Cuarón']","['Sandra Bullock', 'George Clooney', 'Ed Harris']","['Drama', 'Sci-Fi', 'Thriller']",English,UK,1h 31min,PG-13,4-Oct-13,96.0,100000000.0,Warner Bros.
440,tt0113862,Mr. Holland's Opus,['Stephen Herek'],['Patrick Sheane Duncan'],"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']","['Drama', 'Music']",English,USA,2h 23min,PG,19-Jan-96,59.0,23000000.0,Buena Vista Pictures
441,tt6155172,Roma,['Alfonso Cuarón'],['Alfonso Cuarón'],"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey']",['Drama'],Spanish,Mexico,2h 15min,R,21-Nov-18,96.0,,Netflix
442,tt0093004,The Family,['Ettore Scola'],"['Graziano Diana', 'Ruggero Maccari', '2 more credits']","['Vittorio Gassman', 'Fanny Ardant', 'Stefania Sandrelli']","['Drama', 'Romance']",Italian,Italy,2h 7min,PG,Dec-87,,,Vestron Pictures
443,tt0082970,Ragtime,['Milos Forman'],"['E.L. Doctorow', 'Michael Weller']","['James Cagney', 'Elizabeth McGovern', 'Howard E. Rollins Jr.']",['Drama'],English,USA,2h 35min,PG,25-Dec-81,57.0,,Paramount Pictures
444,tt0248667,Ali,['Michael Mann'],"['Gregory Allen Howard', 'Stephen J. Rivele', '3 more credits']","['Will Smith', 'Jamie Foxx', 'Jon Voight']","['Biography', 'Drama', 'Sport']",English,USA,2h 37min,R,25-Dec-01,65.0,107000000.0,Columbia Pictures
445,tt0117817,The Other Side of Sunday,['Berit Nesheim'],"['Lasse Glomm', 'Berit Nesheim', '1 more credit']","['Marie Theisen', 'Hildegun Riise', 'Bjørn Sundquist']","['Comedy', 'Drama']",Norwegian,Norway,1h 43min,PG-13,1-May-98,,,
446,tt0110684,Nobody's Fool,['Robert Benton'],"['Richard Russo', 'Robert Benton']","['Paul Newman', 'Bruce Willis', 'Jessica Tandy']","['Comedy', 'Drama']",English,USA,1h 50min,R,13-Jan-95,86.0,20000000.0,Paramount Pictures
447,tt3316960,Still Alice,"['Richard Glatzer', 'Wash Westmoreland']","['Richard Glatzer', 'Wash Westmoreland', '1 more credit']","['Julianne Moore', 'Alec Baldwin', 'Kristen Stewart']",['Drama'],English,USA,1h 41min,PG-13,20-Feb-15,72.0,5000000.0,Sony Pictures Classics
448,tt0172493,"Girl, Interrupted",['James Mangold'],"['Susanna Kaysen', 'James Mangold', '2 more credits']","['Winona Ryder', 'Angelina Jolie', 'Clea DuVall']","['Biography', 'Drama']",English,USA,2h 7min,R,14-Jan-00,51.0,40000000.0,Columbia Pictures
449,tt0092699,Broadcast News,['James L. Brooks'],['James L. Brooks'],"['William Hurt', 'Albert Brooks', 'Holly Hunter']","['Comedy', 'Drama', 'Romance']",English,USA,2h 13min,R,25-Dec-87,84.0,20000000.0,Twentieth Century Fox
450,tt0274558,The Hours,['Stephen Daldry'],"['Michael Cunningham', 'David Hare']","['Meryl Streep', 'Nicole Kidman', 'Julianne Moore']","['Drama', 'Romance']",English,USA,1h 50min,PG-13,14-Feb-03,80.0,25000000.0,Paramount Pictures
451,tt0093668,Pathfinder,['Nils Gaup'],['Nils Gaup'],"['Mikkel Gaup', 'Ingvald Guttorm', 'Nils Utsi']","['Action', 'Adventure', 'Drama']",Saami,Norway,1h 26min,1h 26min,,,,International Film Exchange
452,tt0150915,Hilary and Jackie,['Anand Tucker'],"['Hilary du Pré', 'Piers du Pré', '1 more credit']","['Emily Watson', 'Rachel Griffiths', 'James Frain']","['Biography', 'Drama', 'Music']",English,UK,2h 1min,R,5-Feb-99,78.0,7000000.0,October Films
453,tt0338013,Eternal Sunshine of the Spotless Mind,['Michel Gondry'],"['Charlie Kaufman', 'Michel Gondry', '2 more credits']","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']","['Drama', 'Romance', 'Sci-Fi']",English,USA,1h 48min,R,19-Mar-04,89.0,20000000.0,Focus Features
454,tt0327056,Mystic River,['Clint Eastwood'],"['Brian Helgeland', 'Dennis Lehane']","['Sean Penn', 'Tim Robbins', 'Kevin Bacon']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,2h 18min,R,15-Oct-03,84.0,25000000.0,Warner Bros.
455,tt0114388,Sense and Sensibility,['Ang Lee'],"['Jane Austen', 'Emma Thompson']","['Emma Thompson', 'Kate Winslet', 'James Fleet']","['Drama', 'Romance']",English,USA,2h 16min,PG,26-Jan-96,84.0,16000000.0,Columbia Pictures
456,tt0112379,Antonia's Line,['Marleen Gorris'],['Marleen Gorris'],"['Willeke van Ammelrooy', 'Jan Decleir', 'Veerle van Overloop']","['Comedy', 'Drama']",Dutch,Netherlands,1h 42min,R,2-Feb-96,,,First Look International
457,tt0120338,Titanic,['James Cameron'],['James Cameron'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']","['Drama', 'Romance']",English,USA,3h 14min,PG-13,19-Dec-97,75.0,200000000.0,Paramount Pictures
458,tt0079054,Dimenticare Venezia,['Franco Brusati'],"['Franco Brusati', 'Franco Brusati', '1 more credit']","['Mariangela Melato', 'Eleonora Giorgi', 'Erland Josephson']",['Drama'],Italian,Italy,1h 50min,Not Rated,14-Apr-79,,,Quartet Films
459,tt4595882,Can You Ever Forgive Me?,['Marielle Heller'],"['Nicole Holofcener', 'Jeff Whitty']","['Melissa McCarthy', 'Richard E. Grant', 'Dolly Wells']","['Biography', 'Comedy', 'Crime', 'Drama']",English,USA,1h 46min,R,2-Nov-18,87.0,10000000.0,Fox Searchlight Pictures
460,tt0105695,Unforgiven,['Clint Eastwood'],['David Webb Peoples'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']","['Drama', 'Western']",English,USA,2h 10min,R,7-Aug-92,85.0,14400000.0,Warner Bros.
461,tt0117318,The People vs. Larry Flynt,['Milos Forman'],"['Scott Alexander', 'Larry Karaszewski']","['Woody Harrelson', 'Courtney Love', 'Edward Norton']","['Biography', 'Drama']",English,USA,2h 10min,R,10-Jan-97,79.0,36000000.0,Columbia Pictures
462,tt7286456,Joker,['Todd Phillips'],"['Todd Phillips', 'Scott Silver', '3 more credits']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']","['Crime', 'Drama', 'Thriller']",English,USA,2h 2min,R,4-Oct-19,59.0,55000000.0,Warner Bros.
463,tt1655420,My Week with Marilyn,['Simon Curtis'],"['Adrian Hodges', 'Colin Clark']","['Michelle Williams', 'Eddie Redmayne', 'Kenneth Branagh']","['Biography', 'Drama']",English,UK,1h 39min,R,23-Dec-11,65.0,,The Weinstein Company
464,tt1392190,Mad Max: Fury Road,['George Miller'],"['George Miller', 'Brendan McCarthy', '1 more credit']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",English,Australia,2h,R,15-May-15,90.0,150000000.0,Warner Bros.
465,tt0116695,Jerry Maguire,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']","['Comedy', 'Drama', 'Romance', 'Sport']",English,USA,2h 19min,R,13-Dec-96,77.0,50000000.0,TriStar Pictures
466,tt0089716,Colonel Redl,['István Szabó'],"['István Szabó', 'Péter Dobai', '1 more credit']","['Klaus Maria Brandauer', 'Hans Christian Blech', 'Armin Mueller-Stahl']","['Biography', 'Drama', 'History']",German,Yugoslavia,2h 24min,R,4-Oct-85,,,Orion Classics
467,tt0424205,Joyeux Noel,['Christian Carion'],['Christian Carion'],"['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet']","['Drama', 'History', 'Music', 'Romance', 'War']",French,France,1h 56min,PG-13,9-Nov-05,70.0,22000000.0,Sony Pictures Classics
468,tt0765432,The Baader Meinhof Complex,['Uli Edel'],"['Bernd Eichinger', 'Uli Edel', '1 more credit']","['Martina Gedeck', 'Moritz Bleibtreu', 'Johanna Wokalek']","['Action', 'Biography', 'Crime', 'Drama', 'History', 'Thriller']",German,Germany,2h 30min,R,25-Sep-08,76.0,,MPI Home Video
469,tt0405094,The Lives of Others,['Florian Henckel von Donnersmarck'],['Florian Henckel von Donnersmarck'],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']","['Drama', 'Mystery', 'Thriller']",German,Germany,2h 17min,R,30-Mar-07,89.0,2000000.0,Sony Pictures Classics
470,tt0119448,Karakter,['Mike van Diem'],"['Ferdinand Bordewijk', 'Laurens Geels', '2 more credits']","['Pavlik Jansen op de Haar', 'Jan Decleir', 'Fedja van Huêt']","['Crime', 'Drama', 'Mystery']",Dutch,Netherlands,2h 2min,R,27-Mar-98,,4500000.0,Sony Pictures Classics
471,tt0111454,Tom & Viv,['Brian Gilbert'],"['Michael Hastings', 'Michael Hastings', '1 more credit']","['Willem Dafoe', 'Miranda Richardson', 'Rosemary Harris']","['Biography', 'Drama', 'Romance']",English,UK,1h 55min,PG-13,2-Dec-94,,,Echo Bridge Home Entertainment
472,tt0079579,Moscow Does Not Believe in Tears,['Vladimir Menshov'],"['Valentin Chernykh', 'Vladimir Menshov']","['Vera Alentova', 'Aleksey Batalov', 'Irina Muravyova']","['Comedy', 'Drama', 'Romance']",Russian,Soviet Union,2h 30min,PG,11-Feb-80,,900000.0,International Film Exchange
473,tt4080728,A Man Called Ove,['Hannes Holm'],"['Hannes Holm', 'Fredrik Backman']","['Rolf Lassgård', 'Bahar Pars', 'Filip Berg']","['Comedy', 'Drama', 'Romance']",Swedish,Sweden,1h 56min,PG-13,30-Sep-16,70.0,,Music Box Films
