IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
tt3316960,Still Alice,"['Richard Glatzer', 'Wash Westmoreland']","['Richard Glatzer', 'Wash Westmoreland', '1 more credit']","['Julianne Moore', 'Alec Baldwin', 'Kristen Stewart']",['Drama'],English,USA,1h 41min,PG-13,20 February 2015 ,72.0,5000000.0,Sony Pictures Classics
tt0172493,"Girl, Interrupted",['James Mangold'],"['Susanna Kaysen', 'James Mangold', '2 more credits']","['Winona Ryder', 'Angelina Jolie', 'Clea DuVall']","['Biography', 'Drama']",English,USA,2h 7min,R,14 January 2000 ,51.0,40000000.0,Columbia Pictures
tt0092699,Broadcast News,['James L. Brooks'],['James L. Brooks'],"['William Hurt', 'Albert Brooks', 'Holly Hunter']","['Comedy', 'Drama', 'Romance']",English,USA,2h 13min,R,25 December 1987 ,84.0,20000000.0,Twentieth Century Fox
tt0274558,The Hours,['Stephen Daldry'],"['Michael Cunningham', 'David Hare']","['Meryl Streep', 'Nicole Kidman', 'Julianne Moore']","['Drama', 'Romance']",English,USA,1h 50min,PG-13,14 February 2003 ,80.0,25000000.0,Paramount Pictures
tt0093668,Pathfinder,['Nils Gaup'],['Nils Gaup'],"['Mikkel Gaup', 'Ingvald Guttorm', 'Nils Utsi']","['Action', 'Adventure', 'Drama']",Saami,Norway,1h 26min,1h 26min,,,,International Film Exchange
tt0150915,Hilary and Jackie,['Anand Tucker'],"['Hilary du Pré', 'Piers du Pré', '1 more credit']","['Emily Watson', 'Rachel Griffiths', 'James Frain']","['Biography', 'Drama', 'Music']",English,UK,2h 1min,R,5 February 1999 ,78.0,7000000.0,October Films
tt0338013,Eternal Sunshine of the Spotless Mind,['Michel Gondry'],"['Charlie Kaufman', 'Michel Gondry', '2 more credits']","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']","['Drama', 'Romance', 'Sci-Fi']",English,USA,1h 48min,R,19 March 2004 ,89.0,20000000.0,Focus Features
tt0327056,Mystic River,['Clint Eastwood'],"['Brian Helgeland', 'Dennis Lehane']","['Sean Penn', 'Tim Robbins', 'Kevin Bacon']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,2h 18min,R,15 October 2003 ,84.0,25000000.0,Warner Bros.
tt0114388,Sense and Sensibility,['Ang Lee'],"['Jane Austen', 'Emma Thompson']","['Emma Thompson', 'Kate Winslet', 'James Fleet']","['Drama', 'Romance']",English,USA,2h 16min,PG,26 January 1996 ,84.0,16000000.0,Columbia Pictures
tt0112379,Antonia's Line,['Marleen Gorris'],['Marleen Gorris'],"['Willeke van Ammelrooy', 'Jan Decleir', 'Veerle van Overloop']","['Comedy', 'Drama']",Dutch,Netherlands,1h 42min,R,2 February 1996 ,,,First Look International
tt0120338,Titanic,['James Cameron'],['James Cameron'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']","['Drama', 'Romance']",English,USA,3h 14min,PG-13,19 December 1997 ,75.0,200000000.0,Paramount Pictures
tt0079054,Dimenticare Venezia,['Franco Brusati'],"['Franco Brusati', 'Franco Brusati', '1 more credit']","['Mariangela Melato', 'Eleonora Giorgi', 'Erland Josephson']",['Drama'],Italian,Italy,1h 50min,Not Rated,14 April 1979 ,,,Quartet Films
tt4595882,Can You Ever Forgive Me?,['Marielle Heller'],"['Nicole Holofcener', 'Jeff Whitty']","['Melissa McCarthy', 'Richard E. Grant', 'Dolly Wells']","['Biography', 'Comedy', 'Crime', 'Drama']",English,USA,1h 46min,R,2 November 2018 ,87.0,10000000.0,Fox Searchlight Pictures
tt0105695,Unforgiven,['Clint Eastwood'],['David Webb Peoples'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']","['Drama', 'Western']",English,USA,2h 10min,R,7 August 1992 ,85.0,14400000.0,Warner Bros.
