,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany,,,,,,,,,,,,,
0,tt0091763,Platoon,['Oliver Stone'],['Oliver Stone'],"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']","['Drama', 'War']",English,USA,2h,R,6-Feb-87,92,6000000,Orion Pictures,,,,,,,,,,,,,
1,tt0082979,Reds,['Warren Beatty'],"['Warren Beatty', 'Trevor Griffiths']","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann']","['Biography', 'Drama', 'History', 'Romance']",English,USA,3h 15min,PG,25-Dec-81,76,32000000,Paramount Pictures,,,,,,,,,,,,,
2,tt0084434,An Officer and a Gentleman,['Taylor Hackford'],['Douglas Day Stewart'],"['Richard Gere', 'Debra Winger', 'David Keith']","['Drama', 'Romance']",English,USA,2h 4min,R,13-Aug-82,75,7500000,Paramount Pictures,,,,,,,,,,,,,
3,tt0119360,In & Out,['Frank Oz'],['Paul Rudnick'],"['Kevin Kline', 'Joan Cusack', 'Tom Selleck']","['Comedy', 'Romance']",English,USA,1h 30min,PG-13,19-Sep-97,70,35000000,Paramount Pictures,,,,,,,,,,,,,
4,tt0292542,Son of the Bride,['Juan José Campanella'],"['Juan José Campanella', 'Fernando Castets']","['Ricardo Darín', 'Héctor Alterio', 'Norma Aleandro']","['Comedy', 'Drama']",Spanish,Argentina,2h 3min,R,16-Aug-01,68,,Sony Pictures Classics,,,,,,,,,,,,,
5,tt1069238,Departures,['Yôjirô Takita'],['Kundô Koyama'],"['Masahiro Motoki', 'Ryôko Hirosue', 'Tsutomu Yamazaki']","['Drama', 'Music']",Japanese,Japan,2h 10min,PG-13,19-Jun-09,68,,Regent Releasing,,,,,,,,,,,,,
6,tt0108550,What's Eating Gilbert Grape,['Lasse Hallström'],"['Peter Hedges', 'Peter Hedges']","['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis']",['Drama'],English,USA,1h 58min,PG-13,4-Mar-94,73,11000000,Paramount Pictures,,,,,,,,,,,,,
7,tt0082736,Mephisto,['István Szabó'],"['Péter Dobai', 'István Szabó', '1 more credit']","['Klaus Maria Brandauer', 'Krystyna Janda', 'Ildikó Bánsági']",['Drama'],Hungarian,West Germany,2h 24min,Unrated,22-Mar-82,,,Analysis Film Releasing Corporation,,,,,,,,,,,,,
8,tt0090203,The Trip to Bountiful,['Peter Masterson'],"['Horton Foote', 'Horton Foote']","['Geraldine Page', 'John Heard', 'Carlin Glynn']",['Drama'],English,USA,1h 48min,PG,24-Jan-86,81,,Island Pictures,,,,,,,,,,,,,
9,tt0087027,Camila,['María Luisa Bemberg'],"['María Luisa Bemberg', 'Beda Docampo Feijóo', '1 more credit']","['Susú Pecoraro', 'Imanol Arias', 'Héctor Alterio']","['Drama', 'Romance']",Spanish,Argentina,1h 45min,R,15-Mar-85,,,European Classics,,,,,,,,,,,,,
10,tt0094924,A Cry in the Dark,['Fred Schepisi'],"['John Bryson', 'Robert Caswell', '1 more credit']","['Meryl Streep', 'Sam Neill', 'Dale Reeves']","['Biography', 'Drama']",English,Australia,2h,PG-13,11-Nov-88,,15000000,Warner Bros.,,,,,,,,,,,,,
11,tt1403865,True Grit,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen', '1 more credit']","['Jeff Bridges', 'Matt Damon', 'Hailee Steinfeld']","['Drama', 'Western']",English,USA,1h 50min,PG-13,22-Dec-10,80,38000000,Paramount Pictures,,,,,,,,,,,,,
12,tt0093010,Fatal Attraction,['Adrian Lyne'],"['James Dearden', 'James Dearden']","['Michael Douglas', 'Glenn Close', 'Anne Archer']","['Drama', 'Thriller']",English,USA,1h 59min,R,18-Sep-87,67,14000000,Paramount Pictures,,,,,,,,,,,,,
